FID,community_id,NEAR_FID,NEAR_DIST,lon,lat
228,114,0,0,114.04814791054083,22.371517620512044
229,114,0,0,114.05219720971797,22.375744237465913
230,115,0,0,114.05886618827896,22.370477788290998
231,115,0,0,114.06427402354814,22.37375318866109
232,116,0,0,114.09778864307826,22.333574210377623
233,116,0,0,114.10425971845115,22.34198638472105
234,117,0,0,114.09254878202839,22.354580869663497
235,117,0,0,114.09623738070826,22.348764231333053
236,118,0,0,113.99887129198143,22.38404236286984
237,118,0,0,113.99376856473707,22.387729112425593
238,119,0,0,113.93469963906966,22.36964855762223
239,119,0,0,113.95492255702915,22.388307228242184
240,120,0,0,113.97670947103086,22.411182394846822
241,120,0,0,113.97143085086326,22.406637320588796
242,121,0,0,113.9761035495075,22.384032124664632
243,121,0,0,113.97742225524536,22.392862575547174
244,122,0,0,113.98349095649404,22.38726308831216
245,122,0,0,113.98362734151641,22.399981985780297
246,123,0,0,114.00380202416429,22.36606860373054
247,123,0,0,114.0038626566469,22.370298895516914
248,124,0,0,113.94114399982976,22.388927212402486
249,124,0,0,113.92990529748828,22.4140854503182
250,125,0,0,114.00595997869682,22.41819106991121
251,125,0,0,113.98663571203,22.418212414046476
252,126,0,0,113.97523937647036,22.4290767021314
253,126,0,0,113.9703444388276,22.41942432299458
254,127,0,0,114.00120254720332,22.460195517702864
255,127,0,0,114.00748687874434,22.4742185938171
256,128,0,0,113.99256411328622,22.459261793802774
257,128,0,0,113.97378809129583,22.452560718900347
258,129,0,0,113.98219248641668,22.430790768044375
259,129,0,0,113.98469773811419,22.427315837182356
260,130,0,0,113.964680908715,22.451854317183088
261,130,0,0,113.97821485032232,22.442846278888585
262,131,0,0,113.98604792438135,22.470437377734275
263,131,0,0,113.9964987482856,22.47505396980978
264,132,0,0,114.00155659549407,22.443063292224664
265,132,0,0,114.00533572921817,22.444616540037007
266,133,0,0,114.0259948264361,22.47445877061335
267,133,0,0,114.02662531370949,22.470504384324908
268,134,0,0,114.01750276567391,22.462008769081134
269,134,0,0,114.01060243610577,22.451623395417943
270,135,0,0,114.0211103342761,22.43345481201251
271,135,0,0,114.02368525960475,22.432451662488514
272,136,0,0,114.01235343305304,22.436884217937102
273,136,0,0,114.01323599050829,22.4285009405218
274,137,0,0,114.06194148049694,22.443311781462462
275,137,0,0,114.06113754331075,22.446993365497793
276,138,0,0,114.01900263167077,22.411352285371617
277,138,0,0,114.06483849573583,22.42433931265977
278,139,0,0,114.0371289091306,22.432338951073664
279,139,0,0,114.02994149965885,22.428231052586792
280,140,0,0,114.02713741399104,22.44635523058606
281,140,0,0,114.03735607347465,22.44103558114809
282,141,0,0,114.04477546304373,22.444938555312522
283,141,0,0,114.04758876388888,22.45617673061841
284,142,0,0,114.05450250361632,22.45822819882411
285,142,0,0,114.07071652789115,22.452081424113995
286,143,0,0,114.01968966836621,22.44498977922417
287,143,0,0,114.02322148651788,22.45170693854253
288,144,0,0,114.02740804005194,22.45345589210131
289,144,0,0,114.02745271859932,22.458717169397012
290,145,0,0,114.03614265078917,22.43768986608801
291,145,0,0,114.03486170217137,22.43578737281035
292,146,0,0,114.07634354553855,22.416826347239873
293,146,0,0,114.07347323143578,22.43638182764357
294,147,0,0,114.09974284479962,22.43720773862621
295,147,0,0,114.08276104252991,22.447784917115314
296,148,0,0,114.09639059179194,22.425058137036366
297,148,0,0,114.09649731507484,22.414756757958642
298,149,0,0,114.04993543968384,22.457538621430327
299,149,0,0,114.0339026259881,22.47190038810126
300,150,0,0,114.04866280464967,22.49207776674188
301,150,0,0,114.0403163212427,22.4990044607133
302,151,0,0,114.06360196627837,22.484224021100086
303,151,0,0,114.06327299595428,22.480166959533115
304,152,0,0,114.07094154446307,22.467312704864977
305,152,0,0,114.0776625583262,22.477093014323412
306,153,0,0,114.09874229871006,22.510986667598523
307,153,0,0,114.10037647661355,22.507893736261426
308,154,0,0,114.09375518743268,22.484225369716903
309,154,0,0,114.1032955118657,22.470822739166856
310,155,0,0,114.10565722119142,22.512954371472883
311,155,0,0,114.10763504611319,22.512982935335494
312,156,0,0,114.11784832323482,22.468921949151387
313,156,0,0,114.13037920540235,22.490018445234327
314,157,0,0,114.14659220825781,22.524024268067176
315,157,0,0,114.11996282943741,22.522016114344215
316,158,0,0,114.11245282904106,22.510076366008498
317,158,0,0,114.11437908672174,22.510494376716213
